# Fe I 5000.172 Å line profiles with different damping
# Wavelength(Å), Opacity_weak(cm⁻¹), Opacity_normal(cm⁻¹), Opacity_strong(cm⁻¹)
5000.332, 1.7904486878898138e-9, 5.974647354956411e-9, 1.7876198985669773e-7
5000.342, 1.9759325008100855e-9, 6.600353364846146e-9, 1.9756676181852957e-7
5000.352, 2.1120917891393345e-9, 7.05580000451783e-9, 2.1120724514565762e-7
5000.362, 2.209574625923643e-9, 7.381503587124303e-9, 2.2095737125503263e-7
5000.372, 2.259873429840496e-9, 7.549538500915212e-9, 2.259873429840496e-7
5000.382, 2.0497800169488244e-9, 6.847681357736047e-9, 2.0497800169488243e-7
5000.392, 1.867678931846632e-9, 6.239337928018182e-9, 1.8676789318466317e-7
5000.402, 1.708809486881547e-9, 5.70860422605701e-9, 1.7088094868815472e-7
5000.412, 1.5693816564392939e-9, 5.242818947942049e-9, 1.569381656439294e-7
5000.422, 1.4463479194802687e-9, 4.831801268005347e-9, 1.4463479194802686e-7
5000.432, 1.337235303614538e-9, 4.467289749998763e-9, 1.337235303614538e-7
5000.442, 1.2400201382975562e-9, 4.142523936240249e-9, 1.2400201382975561e-7
5000.452, 1.1530335413286222e-9, 3.8519286072235656e-9, 1.1530335413286221e-7
5000.462, 1.074889312707928e-9, 3.5908728972859113e-9, 1.0748893127079279e-7
5000.472, 1.004428363987527e-9, 3.3554846502488973e-9, 1.0044283639875269e-7
5000.482, 9.406754871937431e-10, 3.142505997752971e-9, 9.40675487193743e-8
5000.492, 8.828054285203421e-10, 2.949180021954451e-9, 8.828054285203421e-8
5000.502, 8.301160462993503e-10, 2.7731610846041003e-9, 8.301160462993502e-8
5000.512, 7.82006911807793e-10, 2.6124433389578965e-9, 7.820069118077931e-8
5000.522, 7.37962127088281e-10, 2.465303329427386e-9, 7.37962127088281e-8
5000.532, 6.975364362065659e-10, 2.3302535935848146e-9, 6.975364362065658e-8
5000.542, 6.603439276636271e-10, 2.2060049204144978e-9, 6.603439276636271e-8
5000.552, 6.260487899098033e-10, 2.0914354673434212e-9, 6.260487899098032e-8
5000.562, 5.943577043318799e-10, 1.985565347562767e-9, 5.9435770433187985e-8
5000.572, 5.650135524739229e-10, 1.8875356077981e-9, 5.650135524739228e-8
5000.582, 5.377901841969034e-10, 1.7965907503480711e-9, 5.377901841969035e-8
5000.592, 5.124880472346145e-10, 1.7120641327818332e-9, 5.1248804723461456e-8
5000.602, 4.889305197474157e-10, 1.6333657161348756e-9, 4.8893051974741567e-8
5000.612, 4.669608195808534e-10, 1.5599717396975615e-9, 4.669608195808534e-8
5000.622, 4.4643938884650484e-10, 1.4914159837082698e-9, 4.464393888465048e-8
5000.632, 4.2724167208398215e-10, 1.4272823468795207e-9, 4.272416720839822e-8
5000.642, 4.0925622175181117e-10, 1.3671985174286797e-9, 4.0925622175181115e-8
5000.652, 3.9238307707225524e-10, 1.3108305572996866e-9, 3.923830770722552e-8
5000.662, 3.765323720570754e-10, 1.2578782520074402e-9, 3.7653237205707536e-8
5000.672, 3.616231364213124e-10, 1.2080711048614363e-9, 3.616231364213124e-8
5000.682, 3.4758225943954506e-10, 1.1611648755298458e-9, 3.475822594395451e-8
5000.692, 3.343435919225088e-10, 1.1169385800210149e-9, 3.343435919225088e-8
5000.702, 3.2184716565311236e-10, 1.075191883060506e-9, 3.2184716565311234e-8
5000.712, 3.100385130625196e-10, 1.0357428253392051e-9, 3.100385130625196e-8
5000.722, 2.9886807268445623e-10, 9.984258373199604e-10, 2.988680726844562e-8
