# Multiple Fe I lines (blended)
# Wavelength(Å), Opacity_single(cm⁻¹), Opacity_blended(cm⁻¹)
5001.022, 0.0, 9.164967111872852e-10
5001.032, 0.0, 8.662908650655392e-10
5001.042, 0.0, 8.201004025203251e-10
5001.052, 0.0, 7.775082693856786e-10
5001.062, 0.0, 7.381501847076834e-10
5001.072, 0.0, 7.017068255605222e-10
5001.082, 0.0, 6.678973294815925e-10
5001.092, 0.0, 6.364738666874618e-10
5001.102, 0.0, 6.072170853542884e-10
5001.112, 0.0, 5.799322731469307e-10
5001.122, 0.0, 5.544461090438606e-10
5001.132, 0.0, 5.306039039827348e-10
5001.142, 0.0, 5.082672480051976e-10
5001.152, 0.0, 4.873119969061568e-10
5001.162, 0.0, 4.676265434856599e-10
5001.172, 0.0, 4.491103283833508e-10
5001.182, 0.0, 4.31672553253965e-10
5001.192, 0.0, 4.152310654862445e-10
5001.202, 0.0, 3.9971138880313655e-10
5001.212, 0.0, 3.8504587833683016e-10
5001.222, 0.0, 3.711729822559102e-10
5001.232, 0.0, 3.5803659484104196e-10
5001.242, 0.0, 3.4558548831352195e-10
5001.252, 0.0, 3.337728126185308e-10
5001.262, 0.0, 3.22555654058719e-10
5001.272, 0.0, 3.118946449762284e-10
5001.282, 0.0, 3.0175361785996486e-10
5001.292, 0.0, 2.9209929818182934e-10
5001.302, 0.0, 2.8290103108500104e-10
5001.312, 0.0, 2.7413053773152163e-10
5001.322, 0.0, 2.657616976873932e-10
5001.332, 0.0, 2.577703542049666e-10
5001.342, 0.0, 2.501341397010523e-10
5001.352, 0.0, 2.428323190583669e-10
5001.362, 0.0, 2.3584564871723005e-10
5001.372, 0.0, 2.2915624974824128e-10
5001.382, 0.0, 2.227474933551597e-10
5001.392, 0.0, 2.1660389742421746e-10
5001.402, 0.0, 2.1071103293299037e-10
5001.412, 0.0, 2.050554391456626e-10
5001.422, 0.0, 1.996245466727822e-10
5001.432, 0.0, 1.9440660756787951e-10
5001.442, 0.0, 1.8939063174241074e-10
5001.452, 0.0, 1.8456632904313166e-10
5001.462, 0.0, 1.7992405643376493e-10
5001.472, 0.0, 0.0
5001.482, 0.0, 0.0
5001.492, 0.0, 0.0
5001.502, 0.0, 0.0
5001.512, 0.0, 0.0
5001.522, 0.0, 0.0
5001.532, 0.0, 0.0
5001.542, 0.0, 0.0
5001.552, 0.0, 0.0
5001.562, 0.0, 0.0
5001.572, 0.0, 0.0
5001.582, 0.0, 0.0
5001.592, 0.0, 0.0
5001.602, 0.0, 0.0
5001.612, 0.0, 0.0
5001.622, 0.0, 0.0
5001.632, 0.0, 0.0
5001.642, 0.0, 0.0
5001.652, 0.0, 0.0
5001.662, 0.0, 0.0
5001.672, 0.0, 0.0
5001.682, 0.0, 0.0
5001.692, 0.0, 0.0
5001.702, 0.0, 0.0
5001.712, 0.0, 0.0
5001.722, 0.0, 0.0
5001.732, 0.0, 0.0
5001.742, 0.0, 0.0
5001.752, 0.0, 0.0
5001.762, 0.0, 0.0
5001.772, 0.0, 0.0
5001.782, 0.0, 0.0
5001.792, 0.0, 0.0
5001.802, 0.0, 0.0
5001.812, 0.0, 0.0
5001.822, 0.0, 0.0
5001.832, 0.0, 0.0
5001.842, 0.0, 0.0
5001.852, 0.0, 0.0
5001.862, 0.0, 0.0
5001.872, 0.0, 0.0
5001.882, 0.0, 0.0
5001.892, 0.0, 0.0
5001.902, 0.0, 0.0
5001.912, 0.0, 0.0
5001.922, 0.0, 0.0
5001.932, 0.0, 0.0
5001.942, 0.0, 0.0
5001.952, 0.0, 0.0
5001.962, 0.0, 0.0
5001.972, 0.0, 0.0
5001.982, 0.0, 0.0
5001.992, 0.0, 0.0
5002.002, 0.0, 0.0
5002.012, 0.0, 0.0
5002.022, 0.0, 0.0
5002.032, 0.0, 0.0
5002.042, 0.0, 0.0
5002.052, 0.0, 0.0
5002.062, 0.0, 0.0
5002.072, 0.0, 0.0
5002.082, 0.0, 0.0
5002.092, 0.0, 0.0
5002.102, 0.0, 0.0
5002.112, 0.0, 0.0
5002.122, 0.0, 0.0
5002.132, 0.0, 0.0
5002.142, 0.0, 0.0
5002.152, 0.0, 0.0
5002.162, 0.0, 0.0
5002.172, 0.0, 0.0
